Year, Week,0-4 yr,5-17 yr,18-49 yr,50-64 yr,65+ yr
2016,40,2,1,5,5,12
2016,41,1,2,2,7,15
2016,42,0,0,7,6,16
2016,43,0,3,6,7,22
2016,44,0,2,5,5,29
2016,45,4,2,10,12,30
2016,46,1,1,6,11,31
2016,47,3,1,19,21,43
2016,48,6,6,17,20,66
2016,49,10,4,27,29,99
2016,50,7,10,38,59,116
2016,51,28,14,64,81,273
2016,52,23,12,101,159,629
2017,1,19,11,127,217,816
2017,2,26,31,117,213,691
2017,3,31,41,138,207,665
2017,4,38,34,129,185,562
2017,5,42,51,151,187,635
2017,6,61,62,153,262,774
2017,7,73,81,184,272,828
2017,8,72,72,197,290,885
2017,9,48,26,114,175,556
2017,10,34,46,84,182,474
2017,11,36,50,111,156,433
2017,12,44,43,125,167,482
2017,13,35,47,123,182,402
2017,14,30,21,82,108,334
2017,15,16,21,40,83,240
2017,16,15,17,34,63,147
2017,17,7,8,29,42,94
2017,18,,,,,
2017,19,,,,,
2017,20,,,,,
2017,21,,,,,
2017,22,,,,,
2017,23,,,,,
2017,24,,,,,
2017,25,,,,,
2017,26,,,,,
2017,27,,,,,
2017,28,,,,,
2017,29,,,,,
2017,30,,,,,
2017,31,,,,,
2017,32,,,,,
2017,33,,,,,
2017,34,,,,,
2017,35,,,,,
2017,36,,,,,
2017,37,,,,,
2017,38,,,,,
2017,39,,,,,
2017,40,2,1,7,8,17
2017,41,1,2,3,7,19
2017,42,2,2,13,10,42
2017,43,2,2,6,19,34
2017,44,5,6,19,17,37
2017,45,3,6,18,26,48
2017,46,7,8,23,27,64
2017,47,13,11,33,48,112
2017,48,16,10,53,57,197
2017,49,15,12,68,74,229
2017,50,32,26,95,150,372
2017,51,47,30,176,315,772
2017,52,94,44,266,444,1519
2018,1,74,39,316,621,1906
2018,2,88,63,391,586,1706
2018,3,82,60,336,513,1567
2018,4,128,64,333,493,1447
2018,5,120,101,302,465,1259
2018,6,115,88,307,472,1042
2018,7,95,81,231,404,1007
2018,8,75,75,178,309,867
2018,9,42,39,124,225,595
2018,10,36,34,102,164,469
2018,11,33,25,91,160,494
2018,12,40,29,92,139,356
2018,13,22,25,88,133,378
2018,14,15,9,75,129,316
2018,15,16,4,40,95,231
2018,16,11,11,38,64,172
2018,17,20,14,44,48,159
2018,18,,,,,
2018,19,,,,,
2018,20,,,,,
2018,21,,,,,
2018,22,,,,,
2018,23,,,,,
2018,24,,,,,
2018,25,,,,,
2018,26,,,,,
2018,27,,,,,
2018,28,,,,,
2018,29,,,,,
2018,30,,,,,
2018,31,,,,,
2018,32,,,,,
2018,33,,,,,
2018,34,,,,,
2018,35,,,,,
2018,36,,,,,
2018,37,,,,,
2018,38,,,,,
2018,39,,,,,
2018,40,2,0,7,3,9
2018,41,3,0,10,5,11
2018,42,1,3,3,9,14
2018,43,3,1,4,8,14
2018,44,8,3,12,4,19
2018,45,7,3,9,13,21
2018,46,6,9,17,14,21
